# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "2" "-p" "--countReadPairs" "-F" "GFF" "-t" "gene" "-g" "locus_tag" "-a" "ref/GCF_000750555.1_ASM75055v1_genomic.gff" "-o" "counts/gene_counts.txt" "bam/SRR13970433.sorted.bam" "bam/SRR13970434.sorted.bam" "bam/SRR13970441.sorted.bam" "bam/SRR13970442.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	bam/SRR13970433.sorted.bam	bam/SRR13970434.sorted.bam	bam/SRR13970441.sorted.bam	bam/SRR13970442.sorted.bam
BW25113_RS10375	NZ_CP009273.1	2053445	2054395	-	951	24	17	13	19
BW25113_RS10380	NZ_CP009273.1	2054497	2055414	-	918	13	10	9	6
BW25113_RS10385	NZ_CP009273.1	2055741	2055816	+	76	3	0	1	0
BW25113_RS10390	NZ_CP009273.1	2055872	2056807	-	936	23	25	12	20
BW25113_RS10395	NZ_CP009273.1	2056869	2057948	-	1080	40	35	28	16
BW25113_RS10400	NZ_CP009273.1	2057960	2058703	-	744	22	13	16	20
BW25113_RS10405	NZ_CP009273.1	2058700	2059245	-	546	8	19	15	19
BW25113_RS10415	NZ_CP009273.1	2059786	2060766	-	981	5	2	2	1
BW25113_RS10425	NZ_CP009273.1	2062433	2063661	-	1229	3	2	2	5
BW25113_RS10445	NZ_CP009273.1	2065020	2068139	+	3120	17	25	241	224
BW25113_RS10450	NZ_CP009273.1	2068260	2069792	+	1533	1	3	12	15
BW25113_RS25165	NZ_CP009273.1	2069789	2070235	+	447	1	2	0	1
BW25113_RS10460	NZ_CP009273.1	2070298	2070519	+	222	1	1	1	0
BW25113_RS10465	NZ_CP009273.1	2070593	2070961	+	369	0	1	1	0
BW25113_RS10470	NZ_CP009273.1	2071050	2071424	+	375	1	1	2	0
BW25113_RS10475	NZ_CP009273.1	2071421	2071615	+	195	1	4	0	1
BW25113_RS10485	NZ_CP009273.1	2072230	2072412	+	183	9	5	11	9
BW25113_RS10490	NZ_CP009273.1	2072513	2072842	-	330	50	57	67	71
BW25113_RS10495	NZ_CP009273.1	2073014	2074072	-	1059	16	28	22	17
BW25113_RS10500	NZ_CP009273.1	2074270	2074743	-	474	20	19	19	13
BW25113_RS10505	NZ_CP009273.1	2074862	2076028	-	1167	19	16	17	23
BW25113_RS10510	NZ_CP009273.1	2076237	2077664	+	1428	31	38	24	21
BW25113_RS10515	NZ_CP009273.1	2077707	2077934	-	228	3	2	4	0
BW25113_RS10520	NZ_CP009273.1	2077948	2079006	-	1059	4	13	9	14
BW25113_RS10525	NZ_CP009273.1	2079185	2080543	-	1359	74	52	44	36
BW25113_RS25670	NZ_CP009273.1	2080533	2080595	-	63	5	2	2	3
BW25113_RS10530	NZ_CP009273.1	2080810	2081739	-	930	21	28	22	25
BW25113_RS10535	NZ_CP009273.1	2081785	2082609	-	825	36	34	49	45
BW25113_RS10540	NZ_CP009273.1	2082692	2082946	-	255	0	2	6	3
BW25113_RS10545	NZ_CP009273.1	2082943	2083194	-	252	6	7	6	3
BW25113_RS24020	NZ_CP009273.1	2083477	2083527	+	51	1	0	3	1
BW25113_RS10550	NZ_CP009273.1	2083673	2084572	+	900	31	31	54	46
BW25113_RS10555	NZ_CP009273.1	2084578	2085882	+	1305	37	33	52	60
BW25113_RS10560	NZ_CP009273.1	2085879	2086949	+	1071	23	25	41	33
BW25113_RS10565	NZ_CP009273.1	2086949	2088016	+	1068	28	25	36	36
BW25113_RS10570	NZ_CP009273.1	2088016	2088606	+	591	19	17	19	19
BW25113_RS10575	NZ_CP009273.1	2088606	2089343	+	738	18	18	20	17
BW25113_RS10580	NZ_CP009273.1	2089325	2090101	+	777	21	15	25	17
BW25113_RS10585	NZ_CP009273.1	2090095	2090706	+	612	32	30	32	30
BW25113_RS10590	NZ_CP009273.1	2090802	2091782	-	981	119	103	98	103
BW25113_RS10595	NZ_CP009273.1	2091928	2093094	-	1167	17	20	12	18
BW25113_RS10600	NZ_CP009273.1	2093343	2094749	-	1407	321	286	320	264
BW25113_RS10605	NZ_CP009273.1	2095376	2096356	-	981	6	3	3	3
BW25113_RS10615	NZ_CP009273.1	2096872	2097990	-	1119	8	21	25	21
BW25113_RS10620	NZ_CP009273.1	2097975	2098565	-	591	15	23	16	9
BW25113_RS10625	NZ_CP009273.1	2098546	2099538	-	993	25	21	30	32
BW25113_RS10630	NZ_CP009273.1	2099541	2100707	-	1167	28	25	26	26
BW25113_RS10635	NZ_CP009273.1	2100707	2101810	-	1104	36	50	48	48
BW25113_RS10640	NZ_CP009273.1	2101818	2103065	-	1248	38	44	46	40
BW25113_RS10645	NZ_CP009273.1	2103062	2103619	-	558	22	16	19	16
BW25113_RS10650	NZ_CP009273.1	2103619	2104500	-	882	47	47	26	39
BW25113_RS10655	NZ_CP009273.1	2104558	2105457	-	900	72	55	43	38
BW25113_RS10660	NZ_CP009273.1	2105457	2106542	-	1086	75	79	69	53
BW25113_RS10665	NZ_CP009273.1	2106915	2107808	-	894	57	67	69	82
BW25113_RS10670	NZ_CP009273.1	2107983	2109377	-	1395	9	7	9	10
BW25113_RS10675	NZ_CP009273.1	2109388	2110608	-	1221	9	7	6	9
BW25113_RS10680	NZ_CP009273.1	2110605	2111885	-	1281	7	7	9	14
BW25113_RS10685	NZ_CP009273.1	2112161	2113639	-	1479	6	9	7	13
BW25113_RS10690	NZ_CP009273.1	2113641	2115035	-	1395	8	8	13	16
BW25113_RS10695	NZ_CP009273.1	2115090	2116460	-	1371	12	22	14	14
BW25113_RS10700	NZ_CP009273.1	2116565	2118001	-	1437	18	13	7	6
BW25113_RS10705	NZ_CP009273.1	2118004	2119227	-	1224	4	10	13	7
BW25113_RS10710	NZ_CP009273.1	2119224	2119703	-	480	1	4	2	1
BW25113_RS10715	NZ_CP009273.1	2119706	2120671	-	966	8	7	9	7
BW25113_RS10720	NZ_CP009273.1	2120674	2121795	-	1122	6	3	5	5
BW25113_RS10725	NZ_CP009273.1	2121821	2122369	-	549	5	3	2	6
BW25113_RS10730	NZ_CP009273.1	2122385	2123131	-	747	3	7	4	8
BW25113_RS10735	NZ_CP009273.1	2123142	2124359	-	1218	14	12	11	5
BW25113_RS10740	NZ_CP009273.1	2124334	2125551	-	1218	13	11	8	8
BW25113_RS10745	NZ_CP009273.1	2125548	2126036	-	489	4	4	2	2
BW25113_RS10750	NZ_CP009273.1	2126039	2126878	-	840	3	9	7	8
BW25113_RS10755	NZ_CP009273.1	2126971	2129133	-	2163	17	25	15	15
BW25113_RS10760	NZ_CP009273.1	2129136	2129579	-	444	2	2	4	4
BW25113_RS10765	NZ_CP009273.1	2129585	2130724	-	1140	6	8	15	7
BW25113_RS10770	NZ_CP009273.1	2131383	2132966	+	1584	43	38	41	31
BW25113_RS10775	NZ_CP009273.1	2133240	2135093	-	1854	78	98	63	80
BW25113_RS10780	NZ_CP009273.1	2135115	2135696	-	582	48	49	40	27
BW25113_RS10785	NZ_CP009273.1	2135788	2136429	-	642	21	17	19	13
BW25113_RS10790	NZ_CP009273.1	2136747	2140064	+	3318	45	43	35	21
BW25113_RS10795	NZ_CP009273.1	2140173	2141021	-	849	6	10	12	1
BW25113_RS10805	NZ_CP009273.1	2141155	2142507	+	1353	20	14	16	13
BW25113_RS10810	NZ_CP009273.1	2142520	2144466	-	1947	8	10	10	11
BW25113_RS10815	NZ_CP009273.1	2144666	2145127	+	462	0	0	0	0
BW25113_RS10820	NZ_CP009273.1	2145192	2145953	-	762	3	2	0	1
BW25113_RS10825	NZ_CP009273.1	2145950	2146609	-	660	6	11	5	1
BW25113_RS25170	NZ_CP009273.1	2146830	2146889	-	60	2	3	0	0
BW25113_RS25675	NZ_CP009273.1	2147162	2147218	-	57	6	3	7	5
BW25113_RS10830	NZ_CP009273.1	2147497	2148744	+	1248	15	12	15	11
BW25113_RS10835	NZ_CP009273.1	2148744	2151866	+	3123	28	38	22	37
BW25113_RS10840	NZ_CP009273.1	2151867	2154944	+	3078	36	33	25	28
BW25113_RS10845	NZ_CP009273.1	2154945	2156360	+	1416	15	21	12	8
BW25113_RS10850	NZ_CP009273.1	2156357	2157760	+	1404	11	11	5	11
BW25113_RS10855	NZ_CP009273.1	2157757	2158479	+	723	16	6	5	12
BW25113_RS10860	NZ_CP009273.1	2158670	2159002	+	333	8	1	7	2
BW25113_RS10865	NZ_CP009273.1	2159149	2160510	+	1362	41	32	32	43
BW25113_RS24060	NZ_CP009273.1	2160783	2161001	-	219	2	3	1	0
BW25113_RS10880	NZ_CP009273.1	2161470	2161787	-	318	3	7	5	0
BW25113_RS10885	NZ_CP009273.1	2162193	2163092	+	900	28	21	12	8
BW25113_RS10900	NZ_CP009273.1	2163717	2164879	+	1163	48	49	29	41
BW25113_RS10910	NZ_CP009273.1	2165314	2166354	-	1041	1240	1218	830	803
BW25113_RS10915	NZ_CP009273.1	2166402	2167757	-	1356	3572	3600	2691	2710
BW25113_RS10920	NZ_CP009273.1	2167761	2168045	-	285	831	802	718	678
BW25113_RS10925	NZ_CP009273.1	2168076	2168528	-	453	1231	1175	976	913
BW25113_RS10930	NZ_CP009273.1	2168538	2169800	-	1263	4751	4801	3668	3557
BW25113_RS10935	NZ_CP009273.1	2169829	2170683	-	855	2566	2374	1901	1838
BW25113_RS10940	NZ_CP009273.1	2170991	2172043	-	1053	35	36	24	16
BW25113_RS10945	NZ_CP009273.1	2172300	2173577	+	1278	16	16	12	9
BW25113_RS10950	NZ_CP009273.1	2173574	2174578	+	1005	17	15	12	10
BW25113_RS10955	NZ_CP009273.1	2174575	2175540	+	966	14	13	10	12
BW25113_RS10960	NZ_CP009273.1	2175514	2176260	-	747	10	13	14	12
BW25113_RS10965	NZ_CP009273.1	2176312	2177130	-	819	13	4	7	8
BW25113_RS10970	NZ_CP009273.1	2177195	2177995	-	801	12	11	13	12
BW25113_RS10975	NZ_CP009273.1	2177992	2178780	-	789	22	22	10	18
BW25113_RS10980	NZ_CP009273.1	2179003	2179275	-	273	3	6	6	8
BW25113_RS10985	NZ_CP009273.1	2179396	2180220	+	825	6	7	7	5
BW25113_RS10990	NZ_CP009273.1	2180439	2180777	+	339	4	0	1	2
BW25113_RS10995	NZ_CP009273.1	2180859	2181893	-	1035	1	3	1	1
BW25113_RS11000	NZ_CP009273.1	2181909	2184389	-	2481	4	5	2	5
BW25113_RS11005	NZ_CP009273.1	2184405	2185079	-	675	2	1	0	1
BW25113_RS11010	NZ_CP009273.1	2185159	2185701	-	543	10	7	7	12
BW25113_RS11020	NZ_CP009273.1	2185994	2186275	-	282	3	3	3	0
BW25113_RS11025	NZ_CP009273.1	2186538	2187647	-	1110	156	170	151	134
BW25113_RS11030	NZ_CP009273.1	2187779	2189812	+	2034	111	115	98	84
BW25113_RS11045	NZ_CP009273.1	2193758	2197390	+	3633	28	33	20	24
BW25113_RS11050	NZ_CP009273.1	2197451	2197768	+	318	3	2	2	0
BW25113_RS11055	NZ_CP009273.1	2198075	2199163	+	1089	7	9	10	9
BW25113_RS11060	NZ_CP009273.1	2199174	2201453	+	2280	25	21	12	18
BW25113_RS11065	NZ_CP009273.1	2201446	2202582	+	1137	8	10	9	8
BW25113_RS11075	NZ_CP009273.1	2204704	2205165	+	462	10	6	7	7
BW25113_RS11080	NZ_CP009273.1	2205205	2205675	-	471	23	26	14	13
BW25113_RS11085	NZ_CP009273.1	2205722	2206441	-	720	34	39	15	20
BW25113_RS11090	NZ_CP009273.1	2206438	2208123	-	1686	52	51	39	29
BW25113_RS11095	NZ_CP009273.1	2208345	2209076	+	732	12	12	9	7
BW25113_RS11100	NZ_CP009273.1	2209136	2209243	+	108	0	2	0	1
BW25113_RS11105	NZ_CP009273.1	2209224	2209955	-	732	11	7	4	5
BW25113_RS11110	NZ_CP009273.1	2209960	2210886	-	927	10	12	6	4
BW25113_RS11115	NZ_CP009273.1	2210879	2212036	-	1158	12	7	13	12
BW25113_RS11120	NZ_CP009273.1	2212043	2212960	-	918	21	18	7	12
BW25113_RS11125	NZ_CP009273.1	2213171	2215468	-	2298	51	55	44	46
BW25113_RS11130	NZ_CP009273.1	2215664	2217379	+	1716	213	196	182	159
BW25113_RS11135	NZ_CP009273.1	2217417	2218349	-	933	15	19	12	21
BW25113_RS11140	NZ_CP009273.1	2218523	2219110	-	588	6	10	5	9
BW25113_RS11145	NZ_CP009273.1	2219280	2219858	+	579	13	10	15	11
BW25113_RS11150	NZ_CP009273.1	2219988	2220749	-	762	6	14	12	11
BW25113_RS11160	NZ_CP009273.1	2222461	2222544	+	84	0	0	0	1
BW25113_RS11165	NZ_CP009273.1	2222917	2223864	-	948	7	16	16	9
BW25113_RS11170	NZ_CP009273.1	2224103	2224501	+	399	4	8	11	6
BW25113_RS11175	NZ_CP009273.1	2224498	2225193	+	696	7	11	14	25
BW25113_RS11180	NZ_CP009273.1	2225323	2226207	+	885	40	42	51	59
BW25113_RS11185	NZ_CP009273.1	2226357	2227076	+	720	10	11	9	11
BW25113_RS11190	NZ_CP009273.1	2227079	2227318	+	240	3	3	6	2
BW25113_RS11195	NZ_CP009273.1	2227512	2228750	+	1239	278	248	134	141
BW25113_RS11200	NZ_CP009273.1	2228744	2229979	+	1236	263	263	105	100
BW25113_RS11205	NZ_CP009273.1	2230222	2231232	-	1011	54	61	25	27
BW25113_RS11210	NZ_CP009273.1	2231248	2232768	-	1521	112	88	43	61
BW25113_RS11215	NZ_CP009273.1	2232829	2233827	-	999	269	265	199	216
BW25113_RS11220	NZ_CP009273.1	2234107	2235147	-	1041	35	35	21	20
BW25113_RS11230	NZ_CP009273.1	2235289	2236446	-	1158	21	20	19	21
BW25113_RS11235	NZ_CP009273.1	2236463	2237131	-	669	27	17	34	31
BW25113_RS11245	NZ_CP009273.1	2237389	2238225	+	837	59	57	38	38
BW25113_RS11250	NZ_CP009273.1	2238257	2240248	-	1992	26	22	26	26
BW25113_RS11255	NZ_CP009273.1	2240542	2242011	-	1470	35	34	30	28
BW25113_RS11260	NZ_CP009273.1	2242216	2243097	-	882	20	24	19	23
BW25113_RS11265	NZ_CP009273.1	2243196	2244245	+	1050	22	14	14	14
BW25113_RS11270	NZ_CP009273.1	2244319	2245176	+	858	27	36	15	25
BW25113_RS11275	NZ_CP009273.1	2245179	2246267	+	1089	28	40	28	30
BW25113_RS11280	NZ_CP009273.1	2246374	2247624	-	1251	4	6	6	6
BW25113_RS11285	NZ_CP009273.1	2247724	2248665	-	942	8	12	5	5
BW25113_RS11290	NZ_CP009273.1	2248795	2249493	+	699	2	3	6	6
BW25113_RS11295	NZ_CP009273.1	2249564	2250814	-	1251	14	13	15	11
BW25113_RS11300	NZ_CP009273.1	2250908	2251846	-	939	7	8	5	7
BW25113_RS11305	NZ_CP009273.1	2251834	2252775	-	942	14	13	9	11
BW25113_RS11310	NZ_CP009273.1	2253198	2254889	-	1692	61	78	145	153
BW25113_RS11315	NZ_CP009273.1	2254906	2255844	-	939	38	38	82	68
BW25113_RS11320	NZ_CP009273.1	2255844	2256974	-	1131	42	34	65	66
BW25113_RS11325	NZ_CP009273.1	2257342	2258523	+	1182	21	17	14	11
BW25113_RS11330	NZ_CP009273.1	2258520	2258774	-	255	12	2	5	10
BW25113_RS11335	NZ_CP009273.1	2258929	2259501	+	573	21	19	18	12
BW25113_RS11340	NZ_CP009273.1	2259724	2261190	+	1467	51	51	31	25
BW25113_RS11345	NZ_CP009273.1	2261308	2262294	+	987	10	19	19	17
BW25113_RS11350	NZ_CP009273.1	2262333	2263046	+	714	8	3	5	15
BW25113_RS11355	NZ_CP009273.1	2263458	2264024	+	567	78	62	67	55
BW25113_RS11360	NZ_CP009273.1	2264205	2265761	+	1557	49	29	43	32
BW25113_RS11365	NZ_CP009273.1	2265843	2267657	+	1815	15	21	22	15
BW25113_RS11370	NZ_CP009273.1	2267658	2268752	+	1095	12	10	11	7
BW25113_RS11375	NZ_CP009273.1	2268752	2269777	+	1026	21	13	16	15
BW25113_RS11380	NZ_CP009273.1	2269779	2271368	+	1590	67	89	65	50
BW25113_RS11385	NZ_CP009273.1	2271372	2271716	-	345	43	46	43	34
BW25113_RS11390	NZ_CP009273.1	2272049	2273239	-	1191	47	41	32	28
BW25113_RS11395	NZ_CP009273.1	2273267	2273962	-	696	35	39	33	29
BW25113_RS11400	NZ_CP009273.1	2274111	2275871	+	1761	26	30	23	20
BW25113_RS11405	NZ_CP009273.1	2275996	2276280	+	285	104	95	64	69
BW25113_RS11410	NZ_CP009273.1	2276419	2277426	-	1008	61	65	86	41
BW25113_RS11415	NZ_CP009273.1	2277608	2277835	+	228	14	12	14	14
BW25113_RS11420	NZ_CP009273.1	2277855	2279615	+	1761	71	50	55	57
BW25113_RS11425	NZ_CP009273.1	2279690	2279766	+	77	0	2	2	1
BW25113_RS11435	NZ_CP009273.1	2282544	2283524	-	981	0	0	0	1
BW25113_RS11445	NZ_CP009273.1	2283979	2284626	+	648	31	28	24	28
BW25113_RS11450	NZ_CP009273.1	2284837	2285889	-	1053	49	61	43	44
BW25113_RS11455	NZ_CP009273.1	2285886	2286443	-	558	35	27	17	20
BW25113_RS11460	NZ_CP009273.1	2286440	2288383	-	1944	91	74	56	57
BW25113_RS11465	NZ_CP009273.1	2288380	2288859	-	480	19	23	16	9
BW25113_RS11470	NZ_CP009273.1	2288856	2289065	-	210	1	7	3	3
BW25113_RS11475	NZ_CP009273.1	2289062	2289799	-	738	23	26	20	24
BW25113_RS11480	NZ_CP009273.1	2289841	2290503	-	663	26	25	17	20
BW25113_RS11485	NZ_CP009273.1	2290500	2291123	-	624	82	82	61	63
BW25113_RS11490	NZ_CP009273.1	2291136	2291738	-	603	112	100	60	74
BW25113_RS11495	NZ_CP009273.1	2291748	2292197	-	450	64	77	57	39
BW25113_RS11500	NZ_CP009273.1	2292194	2293057	-	864	73	57	50	35
BW25113_RS11505	NZ_CP009273.1	2293044	2293739	-	696	58	70	36	31
BW25113_RS11510	NZ_CP009273.1	2293746	2296232	-	2487	288	324	149	132
BW25113_RS11515	NZ_CP009273.1	2296229	2296492	-	264	12	10	4	4
BW25113_RS11520	NZ_CP009273.1	2296482	2296976	-	495	32	25	10	8
BW25113_RS25870	NZ_CP009273.1	2297085	2297249	+	165	0	3	2	1
BW25113_RS11530	NZ_CP009273.1	2297363	2297872	+	510	53	57	43	43
BW25113_RS11535	NZ_CP009273.1	2298587	2300233	-	1647	79	66	105	119
BW25113_RS11540	NZ_CP009273.1	2300451	2302094	-	1644	27	22	27	21
BW25113_RS11545	NZ_CP009273.1	2302170	2302820	-	651	8	5	8	7
BW25113_RS11550	NZ_CP009273.1	2302820	2303884	-	1065	20	27	23	34
BW25113_RS11555	NZ_CP009273.1	2303958	2305013	-	1056	23	26	30	34
BW25113_RS11560	NZ_CP009273.1	2305125	2306228	-	1104	5858	5695	3030	3025
BW25113_RS11575	NZ_CP009273.1	2306967	2309639	+	2673	117	131	114	109
BW25113_RS11580	NZ_CP009273.1	2309656	2310306	+	651	129	119	117	101
BW25113_RS11585	NZ_CP009273.1	2310506	2313355	-	2850	73	71	63	53
BW25113_RS11590	NZ_CP009273.1	2313522	2315348	+	1827	27	30	22	18
BW25113_RS11595	NZ_CP009273.1	2315345	2316730	+	1386	31	34	18	11
BW25113_RS11600	NZ_CP009273.1	2316926	2317588	+	663	9	11	5	3
BW25113_RS11605	NZ_CP009273.1	2317588	2318238	+	651	3	7	7	7
BW25113_RS11610	NZ_CP009273.1	2318235	2319557	+	1323	12	13	9	8
BW25113_RS11615	NZ_CP009273.1	2319588	2320772	+	1185	13	9	15	5
BW25113_RS11620	NZ_CP009273.1	2320846	2321622	-	777	6	9	4	3
BW25113_RS11625	NZ_CP009273.1	2321627	2323276	-	1650	26	14	14	19
BW25113_RS11640	NZ_CP009273.1	2327815	2328438	-	624	12	4	7	1
BW25113_RS11645	NZ_CP009273.1	2328435	2330123	-	1689	23	20	20	12
BW25113_RS11650	NZ_CP009273.1	2330272	2332899	-	2628	493	487	439	427
BW25113_RS11655	NZ_CP009273.1	2333046	2333768	+	723	9	18	12	13
BW25113_RS11660	NZ_CP009273.1	2333896	2337648	-	3753	50	43	53	47
BW25113_RS26375	NZ_CP009273.1	2338073	2338216	-	144	1	4	7	1
BW25113_RS11670	NZ_CP009273.1	2338344	2340629	+	2286	52	61	58	54
BW25113_RS11675	NZ_CP009273.1	2340863	2341993	+	1131	38	39	37	37
BW25113_RS11680	NZ_CP009273.1	2341993	2342247	+	255	12	11	8	4
BW25113_RS11685	NZ_CP009273.1	2342301	2342951	-	651	61	82	39	35
BW25113_RS11695	NZ_CP009273.1	2343414	2344490	-	1077	1271	1246	539	589
BW25113_RS11700	NZ_CP009273.1	2344495	2345853	-	1359	1446	1431	613	557
BW25113_RS11705	NZ_CP009273.1	2346126	2347754	+	1629	317	292	95	104
BW25113_RS11710	NZ_CP009273.1	2347744	2349003	+	1260	516	525	137	136
BW25113_RS11715	NZ_CP009273.1	2349000	2350190	+	1191	498	478	114	134
BW25113_RS11720	NZ_CP009273.1	2350383	2351282	+	900	37	34	16	17
BW25113_RS11730	NZ_CP009273.1	2351521	2352324	-	804	14	17	9	4
BW25113_RS11735	NZ_CP009273.1	2352342	2353631	-	1290	10	11	6	10
BW25113_RS11740	NZ_CP009273.1	2353688	2354893	-	1206	9	16	17	12
BW25113_RS11745	NZ_CP009273.1	2354908	2355690	-	783	9	8	9	8
BW25113_RS11750	NZ_CP009273.1	2355910	2357112	-	1203	28	31	31	32
BW25113_RS11755	NZ_CP009273.1	2357212	2357754	-	543	5	6	10	6
BW25113_RS11760	NZ_CP009273.1	2358033	2358458	+	426	11	6	6	5
BW25113_RS11765	NZ_CP009273.1	2358497	2359099	-	603	7	7	4	6
BW25113_RS11770	NZ_CP009273.1	2359407	2360546	+	1140	18	16	12	9
BW25113_RS11775	NZ_CP009273.1	2360550	2361518	+	969	11	12	12	11
BW25113_RS11780	NZ_CP009273.1	2361518	2363500	+	1983	21	22	22	22
BW25113_RS11785	NZ_CP009273.1	2363497	2364387	+	891	9	14	6	10
BW25113_RS11790	NZ_CP009273.1	2364387	2366039	+	1653	13	13	14	17
BW25113_RS11795	NZ_CP009273.1	2366036	2366371	+	336	1	3	5	3
BW25113_RS11800	NZ_CP009273.1	2366371	2366757	+	387	6	6	11	4
BW25113_RS11805	NZ_CP009273.1	2366751	2367017	-	267	10	9	6	8
BW25113_RS11810	NZ_CP009273.1	2367127	2368482	-	1356	52	52	47	42
BW25113_RS11815	NZ_CP009273.1	2368479	2369441	-	963	72	73	78	68
BW25113_RS11820	NZ_CP009273.1	2369441	2370298	-	858	82	69	63	80
BW25113_RS11825	NZ_CP009273.1	2370313	2371071	-	759	46	37	24	32
BW25113_RS11830	NZ_CP009273.1	2371068	2372738	-	1671	104	94	84	71
BW25113_RS11835	NZ_CP009273.1	2372827	2374122	-	1296	53	45	27	24
BW25113_RS11840	NZ_CP009273.1	2374201	2374506	-	306	21	19	10	8
BW25113_RS11845	NZ_CP009273.1	2374561	2375022	-	462	19	24	18	25
BW25113_RS11850	NZ_CP009273.1	2375087	2376004	+	918	17	21	15	8
BW25113_RS11855	NZ_CP009273.1	2376192	2377403	+	1212	4	5	8	7
BW25113_RS11860	NZ_CP009273.1	2377474	2379201	-	1728	2	0	2	1
BW25113_RS11865	NZ_CP009273.1	2379339	2380310	+	972	1	5	2	5
BW25113_RS11870	NZ_CP009273.1	2380413	2380916	+	504	4	4	1	7
BW25113_RS11875	NZ_CP009273.1	2381189	2381905	-	717	0	1	0	1
BW25113_RS11880	NZ_CP009273.1	2382114	2382536	+	423	4	0	0	2
BW25113_RS11885	NZ_CP009273.1	2382595	2383443	+	849	4	5	4	5
BW25113_RS11890	NZ_CP009273.1	2383527	2384984	-	1458	200	180	187	180
BW25113_RS11895	NZ_CP009273.1	2384991	2386520	-	1530	206	213	179	192
BW25113_RS11900	NZ_CP009273.1	2386684	2388525	-	1842	330	360	322	303
BW25113_RS11905	NZ_CP009273.1	2388522	2388824	-	303	70	46	48	63
BW25113_RS11910	NZ_CP009273.1	2388821	2389375	-	555	108	104	107	108
BW25113_RS11915	NZ_CP009273.1	2389387	2389929	-	543	149	140	109	108
BW25113_RS11920	NZ_CP009273.1	2389944	2390921	-	978	165	219	162	180
BW25113_RS11925	NZ_CP009273.1	2390918	2393644	-	2727	543	540	424	471
BW25113_RS11930	NZ_CP009273.1	2393697	2395034	-	1338	294	284	233	212
BW25113_RS11935	NZ_CP009273.1	2395031	2395531	-	501	127	97	92	86
BW25113_RS11940	NZ_CP009273.1	2395534	2397336	-	1803	467	482	362	338
BW25113_RS11945	NZ_CP009273.1	2397430	2398092	-	663	163	164	160	169
BW25113_RS11950	NZ_CP009273.1	2398108	2398551	-	444	127	121	114	108
BW25113_RS11955	NZ_CP009273.1	2399182	2400120	-	939	46	32	39	20
BW25113_RS11960	NZ_CP009273.1	2401040	2402257	+	1218	29	37	36	30
BW25113_RS11965	NZ_CP009273.1	2402341	2402940	+	600	18	12	7	7
BW25113_RS11970	NZ_CP009273.1	2402999	2404831	-	1833	70	65	52	58
BW25113_RS11975	NZ_CP009273.1	2404918	2405568	-	651	33	28	42	36
BW25113_RS11980	NZ_CP009273.1	2405579	2406073	-	495	26	21	26	37
BW25113_RS11985	NZ_CP009273.1	2406156	2406611	-	456	23	17	14	20
BW25113_RS11995	NZ_CP009273.1	2406949	2408151	+	1203	213	211	236	237
BW25113_RS12000	NZ_CP009273.1	2408226	2410370	+	2145	378	368	428	405
BW25113_RS12005	NZ_CP009273.1	2410560	2412080	+	1521	20	29	34	36
BW25113_RS12010	NZ_CP009273.1	2412113	2412655	-	543	16	22	24	16
BW25113_RS12015	NZ_CP009273.1	2412713	2413264	-	552	17	26	19	26
BW25113_RS12020	NZ_CP009273.1	2413320	2413964	-	645	9	10	8	10
BW25113_RS12025	NZ_CP009273.1	2414100	2414747	+	648	14	8	5	3
BW25113_RS12030	NZ_CP009273.1	2414804	2415166	+	363	18	8	8	10
BW25113_RS12035	NZ_CP009273.1	2415187	2416080	+	894	45	29	35	33
BW25113_RS12040	NZ_CP009273.1	2416128	2417018	-	891	9	14	11	6
BW25113_RS12045	NZ_CP009273.1	2417215	2417988	-	774	10	14	13	10
BW25113_RS12050	NZ_CP009273.1	2417996	2418712	-	717	10	7	6	8
BW25113_RS12055	NZ_CP009273.1	2418709	2419395	-	687	11	14	8	4
BW25113_RS12060	NZ_CP009273.1	2419485	2420267	-	783	27	36	35	30
BW25113_RS12065	NZ_CP009273.1	2420488	2421270	-	783	43	33	40	33
BW25113_RS12070	NZ_CP009273.1	2421536	2422105	-	570	11	7	11	9
BW25113_RS12075	NZ_CP009273.1	2422200	2423717	-	1518	41	45	12	21
BW25113_RS12080	NZ_CP009273.1	2423754	2424242	-	489	15	18	6	3
BW25113_RS12085	NZ_CP009273.1	2424501	2425163	-	663	24	31	28	22
BW25113_RS12090	NZ_CP009273.1	2425153	2426421	-	1269	41	39	39	28
BW25113_RS12095	NZ_CP009273.1	2426491	2427405	-	915	97	109	98	85
BW25113_RS12100	NZ_CP009273.1	2427561	2428220	-	660	26	33	46	31
BW25113_RS12105	NZ_CP009273.1	2428303	2429115	-	813	36	30	43	30
BW25113_RS12110	NZ_CP009273.1	2429115	2430128	-	1014	63	45	44	48
BW25113_RS12115	NZ_CP009273.1	2430194	2431330	-	1137	39	44	38	39
BW25113_RS12120	NZ_CP009273.1	2431429	2432424	+	996	27	23	16	24
BW25113_RS12125	NZ_CP009273.1	2432421	2433599	-	1179	16	22	16	14
BW25113_RS12130	NZ_CP009273.1	2433864	2435084	-	1221	470	471	365	379
BW25113_RS12135	NZ_CP009273.1	2435243	2437249	+	2007	58	40	33	39
BW25113_RS12140	NZ_CP009273.1	2437370	2437648	-	279	7	11	8	6
